,species,site,site_type,sample_type,d15N,d13c
191,viburnum plicatum,8,nonnative,enriched,407.37,-30.02
192,viburnum plicatum,5,nonnative,control,2.52,-31.63
193,viburnum plicatum,5,nonnative,enriched,426.00,-31.78
194,white oak,1,native,control,-0.32,-29.74
195,white oak,1,native,enriched,999.56,-30.25
196,white oak,14,native,control,4.50,-30.19
197,willow oak,3,native,enriched,375.20,-29.22
198,willow oak,15,native,control,1.08,-29.11
199,willow oak,15,native,enriched,408.91,-29.12
200,willow oak,16,native,control,5.29,-26.60
201,willow oak,16,native,enriched,478.88,-29.31
202,willow oak,21,native,control,3.68,-28.08
203,willow oak,21,native,enriched,514.57,-29.24
204,witchhazel,10,nonnative,enriched,800.62,-30.92
205,zelkova,24,nonnative,control,2.97,-27.56
206,zelkova,24,nonnative,enriched,672.64,-28.85
